iter	Passed	Remaining
0	17	17742
1	28	14175
2	33	11125
3	38	9513
4	43	8691
5	48	8101
6	53	7653
7	59	7324
8	64	7137
9	69	6920
10	77	6984
11	82	6826
12	89	6777
13	94	6651
14	98	6484
15	104	6434
16	110	6378
17	115	6324
18	120	6238
19	125	6168
20	130	6106
21	136	6053
22	142	6032
23	147	5995
24	152	5945
25	159	5969
26	164	5928
27	170	5919
28	182	6125
29	186	6034
30	192	6021
31	199	6024
32	205	6034
33	213	6066
34	219	6046
35	225	6026
36	230	6003
37	237	6001
38	242	5980
39	252	6069
40	262	6149
41	268	6134
42	274	6118
43	282	6133
44	287	6106
45	293	6080
46	299	6065
47	304	6047
48	310	6029
49	316	6013
50	322	6006
51	328	5980
52	332	5940
53	338	5932
54	344	5921
55	353	5953
56	359	5944
57	366	5947
58	371	5932
59	378	5928
60	384	5920
61	390	5906
62	396	5898
63	402	5886
64	408	5877
65	415	5878
66	421	5863
67	426	5850
68	434	5860
69	440	5845
70	446	5841
71	452	5834
72	459	5841
73	466	5835
74	472	5831
75	478	5821
76	485	5821
77	492	5820
78	497	5804
79	505	5808
80	511	5802
81	518	5799
82	524	5798
83	531	5794
84	537	5790
85	544	5787
86	550	5776
87	555	5762
88	562	5754
89	568	5745
90	574	5736
91	579	5721
92	586	5717
93	592	5707
94	598	5705
95	604	5696
96	611	5691
97	617	5683
98	623	5678
99	630	5672
100	636	5662
101	642	5655
102	648	5645
103	658	5673
104	665	5669
105	670	5657
106	677	5650
107	681	5628
108	687	5623
109	694	5615
110	700	5609
111	706	5605
112	709	5572
113	716	5569
114	724	5574
115	728	5550
116	734	5543
117	740	5533
118	747	5534
119	753	5527
120	761	5532
121	767	5523
122	774	5519
123	780	5514
124	786	5508
125	807	5604
126	839	5773
127	874	5956
128	907	6127
129	939	6289
130	981	6512
131	1006	6621
132	1021	6660
133	1071	6927
134	1088	6973
135	1104	7017
136	1138	7170
137	1142	7134
138	1171	7254
139	1197	7355
140	1241	7560
141	1293	7813
142	1330	7973
143	1362	8097
144	1400	8260
145	1421	8315
146	1445	8384
147	1467	8446
148	1489	8508
149	1527	8654
150	1544	8686
151	1566	8737
152	1595	8832
153	1620	8903
154	1643	8959
155	1671	9042
156	1698	9121
157	1722	9180
158	1734	9175
159	1760	9240
160	1782	9287
161	1798	9305
162	1818	9335
163	1846	9411
164	1871	9471
165	1902	9558
166	1923	9593
167	1937	9595
168	1958	9629
169	1978	9660
170	2048	9931
171	2065	9944
172	2082	9954
173	2092	9932
174	2115	9975
175	2155	10091
176	2177	10126
177	2214	10228
178	2252	10329
179	2324	10589
180	2359	10676
181	2375	10678
182	2398	10706
183	2420	10735
184	2436	10733
185	2457	10754
186	2476	10765
187	2511	10846
188	2537	10889
189	2553	10885
190	2576	10914
191	2598	10934
192	2638	11034
193	2667	11082
194	2680	11065
195	2710	11117
196	2728	11120
197	2745	11122
198	2774	11167
199	2803	11213
200	2821	11216
201	2840	11222
202	2860	11231
203	2881	11242
204	2891	11213
205	2910	11219
206	2936	11251
207	3012	11470
208	3037	11497
209	3110	11701
210	3174	11870
211	3200	11897
212	3259	12043
213	3265	11994
214	3271	11946
215	3279	11902
216	3285	11853
217	3292	11809
218	3298	11761
219	3303	11713
220	3310	11667
221	3316	11623
